row_id,rally_uid,base_point,candidate_point,transition,source_dir,source,source_risk,base_depth,candidate_depth,base_side,candidate_side,same_depth,same_side,is_point0_addition,is_point0_removal,is_nonterminal_swap,is_rare_point_repair
5,15204,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
49,15354,7,9,7->9,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,left,right,True,False,False,False,True,True
138,15649,6,4,6->4,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,half,half,right,left,True,False,False,False,True,True
191,15829,4,8,4->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,half,long,left,middle,False,False,False,False,True,True
209,15889,0,9,0->9,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,terminal,long,terminal,right,False,False,False,True,False,True
300,16192,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
361,16391,8,9,8->9,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,middle,right,True,False,False,False,True,True
376,16448,8,9,8->9,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,middle,right,True,False,False,False,True,True
532,16977,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
639,17379,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
714,17639,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
929,18378,2,5,2->5,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,short,half,middle,middle,False,True,False,False,True,False
937,18405,2,5,2->5,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,short,half,middle,middle,False,True,False,False,True,False
1043,18747,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1053,18779,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
1071,18846,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
1158,19136,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1227,19375,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
1482,20246,0,8,0->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,terminal,long,terminal,middle,False,False,False,True,False,False
1502,20280,0,9,0->9,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,terminal,long,terminal,right,False,False,False,True,False,True
1546,20379,0,8,0->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,terminal,long,terminal,middle,False,False,False,True,False,False
1631,20568,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1656,20626,9,6,9->6,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,half,right,right,False,True,False,False,True,True
1658,20630,9,6,9->6,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,half,right,right,False,True,False,False,True,True
1660,20634,8,6,8->6,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,half,middle,right,False,False,False,False,True,True
1743,20830,8,9,8->9,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,middle,right,True,False,False,False,True,True
1746,20837,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1804,20967,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget14__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
5,15204,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
49,15354,7,9,7->9,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,left,right,True,False,False,False,True,True
138,15649,6,4,6->4,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,half,half,right,left,True,False,False,False,True,True
191,15829,4,8,4->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,half,long,left,middle,False,False,False,False,True,True
300,16192,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
361,16391,8,9,8->9,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,middle,right,True,False,False,False,True,True
376,16448,8,9,8->9,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,middle,right,True,False,False,False,True,True
532,16977,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
639,17379,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
714,17639,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
929,18378,2,5,2->5,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,short,half,middle,middle,False,True,False,False,True,False
937,18405,2,5,2->5,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,short,half,middle,middle,False,True,False,False,True,False
1043,18747,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1053,18779,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
1071,18846,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
1158,19136,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1227,19375,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
1631,20568,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1656,20626,9,6,9->6,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,half,right,right,False,True,False,False,True,True
1658,20630,9,6,9->6,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,half,right,right,False,True,False,False,True,True
1660,20634,8,6,8->6,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,half,middle,right,False,False,False,False,True,True
1743,20830,8,9,8->9,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,middle,right,True,False,False,False,True,True
1746,20837,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1804,20967,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget18__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
5,15204,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
49,15354,7,9,7->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,left,right,True,False,False,False,True,True
138,15649,6,4,6->4,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,half,half,right,left,True,False,False,False,True,True
191,15829,4,8,4->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,half,long,left,middle,False,False,False,False,True,True
199,15853,0,9,0->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,right,False,False,False,True,False,True
209,15889,0,9,0->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,right,False,False,False,True,False,True
300,16192,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
361,16391,8,9,8->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,middle,right,True,False,False,False,True,True
376,16448,8,9,8->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,middle,right,True,False,False,False,True,True
532,16977,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
639,17379,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
714,17639,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
784,17883,0,9,0->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,right,False,False,False,True,False,True
832,18047,0,8,0->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,middle,False,False,False,True,False,False
899,18271,0,8,0->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,middle,False,False,False,True,False,False
929,18378,2,5,2->5,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,short,half,middle,middle,False,True,False,False,True,False
937,18405,2,5,2->5,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,short,half,middle,middle,False,True,False,False,True,False
1043,18747,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1053,18779,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
1071,18846,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
1158,19136,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1227,19375,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
1233,19397,0,9,0->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,right,False,False,False,True,False,True
1272,20036,0,9,0->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,right,False,False,False,True,False,True
1390,20154,0,9,0->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,right,False,False,False,True,False,True
1427,20191,0,9,0->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,right,False,False,False,True,False,True
1482,20246,0,8,0->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,middle,False,False,False,True,False,False
1502,20280,0,9,0->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,right,False,False,False,True,False,True
1541,20369,0,7,0->7,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,left,False,False,False,True,False,True
1546,20379,0,8,0->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,middle,False,False,False,True,False,False
1584,20464,0,7,0->7,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,terminal,long,terminal,left,False,False,False,True,False,True
1631,20568,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1656,20626,9,6,9->6,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,half,right,right,False,True,False,False,True,True
1658,20630,9,6,9->6,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,half,right,right,False,True,False,False,True,True
1660,20634,8,6,8->6,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,half,middle,right,False,False,False,False,True,True
1743,20830,8,9,8->9,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,middle,right,True,False,False,False,True,True
1746,20837,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1804,20967,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget4__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
5,15204,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
49,15354,7,9,7->9,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,left,right,True,False,False,False,True,True
138,15649,6,4,6->4,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,half,half,right,left,True,False,False,False,True,True
191,15829,4,8,4->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,half,long,left,middle,False,False,False,False,True,True
209,15889,0,9,0->9,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,terminal,long,terminal,right,False,False,False,True,False,True
300,16192,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
361,16391,8,9,8->9,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,middle,right,True,False,False,False,True,True
376,16448,8,9,8->9,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,middle,right,True,False,False,False,True,True
532,16977,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
639,17379,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
714,17639,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
832,18047,0,8,0->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,terminal,long,terminal,middle,False,False,False,True,False,False
929,18378,2,5,2->5,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,short,half,middle,middle,False,True,False,False,True,False
937,18405,2,5,2->5,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,short,half,middle,middle,False,True,False,False,True,False
1043,18747,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1053,18779,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
1071,18846,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
1158,19136,7,8,7->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,left,middle,True,False,False,False,True,True
1227,19375,9,8,9->8,v306_point0_addition_probe,submission_v306_p0_budget9__v173action_v300server,normal,long,long,right,middle,True,False,False,False,True,True
